index,w_m_exceso,m_x_infl,infl_prev_c,w_PIB_crec_real,w_r_fisher,w_deficit_rez,poca_prof_c,def_x_poca_prof,w_depreciacion,const
62,64.67003161011986,3708.478727662212,57.34462525114789,7.27427735417383,-30.753723343003294,-5.216,0.3528252159885015,-1.8403363265960238,68.01164671469917,1.0
63,52.95698793353916,3036.798627478364,57.34462525114789,4.69114645217414,-29.970384456875077,0.269,0.3692945559259654,0.09934023554408469,68.01164671469917,1.0
64,78.75633626224682,4516.252589111933,57.34462525114789,2.18148971731765,-1.9997570002615705,5.924,0.37931232133405357,2.2470461915829336,68.01164671469917,1.0
65,78.75633626224682,4516.252589111933,57.34462525114789,3.05462423452938,-30.753723343003294,9.399,0.3799322356072218,3.570983082472277,68.01164671469917,1.0
66,78.75633626224682,4516.252589111933,57.34462525114789,4.20599855694861,-30.753723343003294,-2.021,0.36833840459763856,-0.7444119156918275,68.01164671469917,1.0
67,78.75633626224682,4516.252589111933,57.34462525114789,13.6656887610553,-27.943153978628178,-2.805,0.37419102631903434,-1.0496058288248913,68.01164671469917,1.0
68,64.61100195458059,3705.0936941866075,57.34462525114789,3.48731240097521,-30.753723343003294,2.245,0.36970488679561864,0.8299874708561639,68.01164671469917,1.0
69,37.132101943377,2129.3264707303742,57.34462525114789,11.4198633904585,-30.753723343003294,4.102,0.36614636933637223,1.501932407017799,11.97628292364634,1.0
70,46.5512168500576,2669.462085251474,57.34462525114789,14.1547775343954,-14.982365390346287,-1.032,0.36698068019728247,-0.37872406196359554,4.330524495176502,1.0
71,48.0091073772585,2306.558228399749,48.04418066502827,11.8418178757042,-25.429587810945677,-6.404,0.3471379336695417,-2.223071327219745,-7.791574677367874,1.0
72,36.418747445349496,805.3362429901772,22.11323286718404,13.0026889457976,-8.61022487514499,-8.415,0.31717512869929954,-2.669028708004605,-4.556447867785285,1.0
73,78.75633626224682,1001.0426242260517,12.710629667849574,10.7866360496581,1.2964770868419961,-3.853,0.2968812570098538,-1.1438834832589668,-2.180775259140899,1.0
74,19.480091782115068,113.13271357244452,5.807606803799208,1.99558909788963,-9.912312945490044,3.796,0.20664338897419277,0.7844183045460357,5.723871133976255,1.0
