iso3,anio,share_local,fx_share
BHR,2010,0.644,0.356
BHR,2011,0.629,0.371
BHR,2012,0.542,0.45799999999999996
BHR,2013,0.536,0.46399999999999997
BHR,2014,0.519,0.481
BHR,2015,0.618,0.382
BHR,2016,0.601,0.399
BHR,2017,0.44999999999999996,0.55
BHR,2018,0.513,0.487
BHR,2019,0.46199999999999997,0.538
BHR,2020,0.42600000000000005,0.574
BHR,2021,0.344,0.656
BHR,2022,0.36,0.64
BHR,2023,0.354,0.646
BHR,2024,0.391,0.609
BHR,2025,0.384,0.616
BHS,1990,0.849,0.15100000000000002
BHS,1991,0.874,0.126
BHS,1992,0.887,0.11299999999999999
BHS,1993,0.882,0.118
BHS,1994,0.899,0.10099999999999998
BHS,1995,0.896,0.10399999999999998
BHS,1996,0.914,0.08599999999999997
BHS,1997,0.914,0.08599999999999997
BHS,1998,0.924,0.07599999999999996
BHS,1999,0.931,0.06899999999999995
BHS,2000,0.9339999999999999,0.06600000000000006
BHS,2001,0.925,0.07499999999999996
BHS,2002,0.901,0.09899999999999998
BHS,2003,0.88,0.12
BHS,2004,0.888,0.11199999999999999
BHS,2005,0.895,0.10499999999999998
BHS,2006,0.898,0.10199999999999998
BHS,2007,0.904,0.09599999999999997
BHS,2008,0.88,0.12
BHS,2009,0.8200000000000001,0.17999999999999994
BHS,2010,0.8140000000000001,0.18599999999999994
BHS,2011,0.817,0.18300000000000005
BHS,2012,0.792,0.20799999999999996
BHS,2013,0.765,0.235
BHS,2014,0.75,0.25
BHS,2015,0.748,0.252
BHS,2016,0.752,0.248
BHS,2017,0.6679999999999999,0.3320000000000001
BHS,2018,0.6859999999999999,0.31400000000000006
BHS,2019,0.69,0.31000000000000005
BHS,2020,0.573,0.42700000000000005
BHS,2021,0.5780000000000001,0.42199999999999993
BHS,2022,0.5469999999999999,0.45300000000000007
BHS,2023,0.5469999999999999,0.45300000000000007
BHS,2024,0.5549999999999999,0.44500000000000006
BIH,1999,0.33999999999999997,0.66
BIH,2000,0.05700000000000005,0.943
BIH,2001,0.16900000000000004,0.831
BIH,2002,0.17700000000000005,0.823
BIH,2003,0.16100000000000003,0.839
BIH,2004,0.09299999999999997,0.907
BIH,2005,0.06699999999999995,0.933
BIH,2006,0.05700000000000005,0.943
BIH,2007,0.007000000000000006,0.993
BIH,2008,0.07099999999999995,0.929
BIH,2009,0.14400000000000002,0.856
BIH,2010,0.135,0.865
BIH,2011,0.17100000000000004,0.829
BIH,2012,0.18200000000000005,0.818
BIH,2013,0.18200000000000005,0.818
BIH,2014,0.17600000000000005,0.824
BIH,2015,0.16600000000000004,0.834
BIH,2016,0.15400000000000003,0.846
BIH,2017,0.15100000000000002,0.849
BIH,2018,0.124,0.876
BIH,2019,0.129,0.871
BIH,2020,0.15600000000000003,0.844
BIH,2021,0.128,0.872
BIH,2022,0.15100000000000002,0.849
BIH,2023,0.20299999999999996,0.797
BIH,2024,0.241,0.759
BIH,2025,0.259,0.741
BLR,1994,0.596,0.404
BLR,1995,0.868,0.132
BLR,1996,0.758,0.242
BLR,1997,0.724,0.276
BLR,1998,0.5840000000000001,0.4159999999999999
BLR,1999,0.667,0.33299999999999996
BLR,2000,0.493,0.507
BLR,2001,0.649,0.351
BLR,2002,0.718,0.28200000000000003
BLR,2003,0.804,0.19599999999999995
BLR,2004,0.756,0.244
BLR,2005,0.757,0.243
BLR,2006,0.819,0.18100000000000005
BLR,2007,0.608,0.392
BLR,2008,0.528,0.472
BLR,2009,0.268,0.732
BLR,2010,0.257,0.743
BLR,2011,0.31699999999999995,0.683
BLR,2012,0.38,0.62
BLR,2013,0.42700000000000005,0.573
BLR,2014,0.43799999999999994,0.562
BLR,2015,0.45099999999999996,0.549
BLR,2016,0.403,0.597
BLR,2017,0.33899999999999997,0.661
BLR,2018,0.29800000000000004,0.702
BLR,2019,0.28800000000000003,0.712
BLR,2020,0.274,0.726
BLR,2021,0.30800000000000005,0.692
BLR,2022,0.28800000000000003,0.712
BLZ,1989,0.473,0.527
BLZ,1990,0.42300000000000004,0.577
BLZ,1991,0.45199999999999996,0.548
BLZ,1992,0.44599999999999995,0.554
BLZ,1993,0.46499999999999997,0.535
BLZ,1994,0.46699999999999997,0.533
BLZ,1995,0.478,0.522
BLZ,1996,0.44699999999999995,0.553
BLZ,1997,0.45899999999999996,0.541
BLZ,1998,0.45799999999999996,0.542
BLZ,1999,0.51,0.49
BLZ,2000,0.473,0.527
BLZ,2001,0.134,0.866
BLZ,2002,0.08199999999999996,0.918
BLZ,2003,0.10899999999999999,0.891
BLZ,2004,0.124,0.876
BLZ,2005,0.124,0.876
BLZ,2006,0.14500000000000002,0.855
BLZ,2007,0.132,0.868
BLZ,2008,0.138,0.862
BLZ,2009,0.14,0.86
BLZ,2010,0.16300000000000003,0.837
BLZ,2011,0.17200000000000004,0.828
BLZ,2012,0.19099999999999995,0.809
BLZ,2013,0.17900000000000005,0.821
BLZ,2014,0.17400000000000004,0.826
BLZ,2015,0.20199999999999996,0.798
BLZ,2016,0.261,0.739
BLZ,2017,0.31399999999999995,0.686
BLZ,2018,0.31899999999999995,0.681
BLZ,2019,0.33199999999999996,0.668
BLZ,2020,0.34299999999999997,0.657
BLZ,2021,0.391,0.609
BLZ,2022,0.346,0.654
BLZ,2023,0.369,0.631
BLZ,2024,0.367,0.633
BLZ,2025,0.403,0.597
BOL,1989,0.388,0.612
BOL,1990,0.395,0.605
BOL,1991,0.43400000000000005,0.566
BOL,1992,0.42200000000000004,0.578
BOL,1993,0.32499999999999996,0.675
BOL,1994,0.31200000000000006,0.688
BOL,1995,0.263,0.737
BOL,1996,0.265,0.735
BOL,1997,0.243,0.757
BOL,1998,0.21099999999999997,0.789
BOL,1999,0.274,0.726
BOL,2000,0.40800000000000003,0.592
BOL,2001,0.552,0.44799999999999995
BOL,2002,0.493,0.507
BOL,2003,0.478,0.522
BOL,2004,0.43799999999999994,0.562
BOL,2005,0.44299999999999995,0.557
BOL,2006,0.521,0.479
BOL,2007,0.622,0.378
BOL,2008,0.643,0.357
BOL,2009,0.544,0.45599999999999996
BOL,2010,0.6579999999999999,0.3420000000000001
BOL,2011,0.65,0.35
BOL,2012,0.5820000000000001,0.4179999999999999
BOL,2013,0.5389999999999999,0.4610000000000001
BOL,2014,0.55,0.44999999999999996
BOL,2015,0.5329999999999999,0.4670000000000001
BOL,2016,0.558,0.44199999999999995
BOL,2017,0.525,0.475
BOL,2018,0.538,0.46199999999999997
BOL,2019,0.542,0.45799999999999996
BOL,2020,0.585,0.41500000000000004
BOL,2021,0.612,0.388
BOL,2022,0.621,0.379
BOL,2023,0.667,0.33299999999999996
BOL,2024,0.723,0.277
BRA,1989,0.04300000000000004,0.957
BRA,1990,0.5740000000000001,0.42599999999999993
BRA,1991,0.611,0.389
BRA,1992,0.6659999999999999,0.3340000000000001
BRA,1993,0.493,0.507
BRA,1994,0.529,0.471
BRA,1995,0.661,0.33899999999999997
BRA,1996,0.759,0.241
BRA,1997,0.8009999999999999,0.19900000000000007
BRA,1998,0.8140000000000001,0.18599999999999994
BRA,1999,0.775,0.22499999999999998
BRA,2000,0.781,0.21899999999999997
BRA,2001,0.786,0.21399999999999997
BRA,2002,0.732,0.268
BRA,2003,0.812,0.18799999999999994
BRA,2004,0.841,0.15900000000000003
BRA,2005,0.865,0.135
BRA,2006,0.885,0.11499999999999999
BRA,2007,0.897,0.10299999999999998
BRA,2008,0.878,0.122
BRA,2009,0.949,0.051000000000000045
BRA,2010,0.951,0.049000000000000044
BRA,2011,0.957,0.04300000000000004
BRA,2012,0.955,0.04500000000000004
BRA,2013,0.95,0.050000000000000044
BRA,2014,0.946,0.05400000000000005
BRA,2015,0.937,0.06299999999999994
BRA,2016,0.95,0.050000000000000044
BRA,2017,0.955,0.04500000000000004
BRA,2018,0.951,0.049000000000000044
BRA,2019,0.948,0.052000000000000046
BRA,2020,0.9299999999999999,0.07000000000000006
BRA,2021,0.9299999999999999,0.07000000000000006
BRA,2022,0.938,0.062000000000000055
BRA,2023,0.952,0.04800000000000004
BRA,2024,0.942,0.05800000000000005
BRA,2025,0.952,0.04800000000000004
BRB,2012,0.745,0.255
BRB,2013,0.749,0.251
BRB,2014,0.747,0.253
BRB,2015,0.765,0.235
BRB,2016,0.785,0.21499999999999997
BRB,2017,0.793,0.20699999999999996
BRB,2018,0.749,0.251
