iso3,anio,PIB_crec_weo,cta_corriente_weo,deuda_bruta_weo,infl_ipc_weo,resultado_fiscal_weo,resultado_primario_weo
AUS,2002,4.159,-3.799,15.01,3.049,0.193,0.851
AUS,2003,3.016,-5.324,13.186,2.731,1.051,1.343
AUS,2004,4.113,-6.307,11.907,2.342,1.323,1.312
AUS,2005,3.029,-5.952,10.858,2.659,1.707,1.564
AUS,2006,2.62,-5.875,9.938,3.554,1.771,1.467
AUS,2007,4.339,-6.746,9.665,2.356,1.474,1.283
AUS,2008,2.594,-4.854,11.742,4.348,-1.101,-1.132
AUS,2009,1.965,-4.514,16.622,1.77,-4.563,-4.525
AUS,2010,2.419,-3.693,20.35,2.863,-5.116,-4.881
AUS,2011,2.785,-2.979,24.04,3.356,-4.526,-4.084
AUS,2012,3.789,-4.358,27.521,1.686,-3.509,-2.866
AUS,2013,2.219,-3.388,30.466,2.45,-2.81,-2.073
AUS,2014,2.575,-3.086,34.036,2.513,-2.918,-2.079
AUS,2015,2.34,-4.714,37.726,1.485,-2.786,-1.87
AUS,2016,2.694,-3.455,40.621,1.277,-2.424,-1.522
AUS,2017,2.38,-2.835,41.195,1.995,-1.718,-0.848
AUS,2018,2.791,-2.569,41.758,1.933,-1.259,-0.413
AUS,2019,1.936,-0.021,46.72,1.566,-4.41,-3.587
AUS,2020,-1.955,1.734,57.092,0.869,-8.733,-7.832
AUS,2021,5.412,2.396,55.537,2.842,-6.363,-5.515
AUS,2022,4.142,0.372,50.222,6.615,-2.185,-1.436
AUS,2023,2.056,-0.295,48.973,5.616,-0.922,-0.051
AUS,2024,1.038,-1.927,49.828,3.198,-2.156,-1.081
AUS,2025,1.634,-3.069,50.937,2.55,-2.584,-1.43
AUS,2026,2.078,-3.437,50.533,3.53,-1.574,-0.433
AUT,1995,2.668,-2.876,68.238,1.611,-6.174,-2.924
AUT,1996,2.398,-2.854,68.18,1.771,-4.381,-1.051
AUT,1997,2.146,-2.559,63.373,1.167,-2.384,0.652
AUT,1998,3.493,-1.863,69.197,0.817,-2.683,0.191
AUT,1999,3.762,-2.27,61.34,0.516,-2.628,0.221
AUT,2000,3.19,-0.71,66.109,1.956,-2.075,0.67
AUT,2001,1.317,-0.8,67.238,2.302,-0.712,1.975
AUT,2002,1.484,2.118,67.44,1.681,-1.426,1.187
AUT,2003,1.142,1.557,66.412,1.302,-1.839,0.583
AUT,2004,2.565,2.092,65.912,1.964,-4.941,-2.643
AUT,2005,2.32,2.274,69.428,2.102,-2.588,-0.18
AUT,2006,3.269,3.318,68.176,1.686,-2.609,-0.259
AUT,2007,3.775,3.826,65.813,2.2,-1.561,0.671
AUT,2008,1.453,4.52,69.528,3.23,-1.572,0.653
AUT,2009,-3.586,2.613,80.752,0.406,-5.381,-3.064
AUT,2010,1.809,2.873,83.654,1.691,-4.465,-2.212
AUT,2011,2.927,1.641,83.356,3.542,-2.482,-0.29
AUT,2012,0.628,1.492,82.935,2.569,-2.177,0.068
AUT,2013,-0.251,1.748,82.431,2.118,-1.993,0.181
AUT,2014,0.756,2.397,85.21,1.465,-1.923,0.108
AUT,2015,1.303,1.577,85.615,0.81,-0.476,1.387
AUT,2016,2.117,2.574,83.419,0.973,-1.451,0.232
AUT,2017,2.272,1.264,79.057,2.228,-0.776,0.723
AUT,2018,2.484,0.846,74.586,2.122,0.195,1.513
AUT,2019,1.755,2.376,71.006,1.493,0.536,1.711
AUT,2020,-6.318,3.367,83.183,1.392,-8.204,-7.082
AUT,2021,4.795,1.735,82.395,2.76,-5.694,-4.794
AUT,2022,5.278,-0.862,78.344,8.619,-3.42,-2.665
AUT,2023,-0.955,1.339,78.404,7.712,-2.612,-1.835
AUT,2024,-1.174,2.421,81.206,2.918,-4.694,-3.629
AUT,2025,-0.261,2.631,82.882,3.183,-4.08,-3.077
AUT,2026,0.775,2.768,84.183,1.694,-3.557,-2.416
AZE,1995,-13.027,-13.165,19.209,411.76,-1.34,-1.24
AZE,1996,2.531,-25.894,16.721,19.795,-2.253,-1.929
AZE,1997,8.884,-21.214,11.443,3.674,-0.937,-0.827
AZE,1998,6.007,-31.883,14.291,-0.773,1.631,1.732
AZE,1999,11.396,-13.09,25.414,-8.525,-1.033,-0.633
AZE,2000,6.227,-3.539,13.133,1.805,0.145,0.539
AZE,2001,6.486,-0.945,12.954,1.768,21.764,22.024
AZE,2002,9.439,-12.329,11.885,2.758,19.393,19.672
AZE,2003,10.208,-27.772,10.659,2.121,1.605,1.833
AZE,2004,9.254,-29.824,9.71,6.709,1.781,1.99
AZE,2005,26.4,1.264,6.855,9.577,2.741,2.908
AZE,2006,34.466,17.67,5.297,8.3,0.663,0.85
AZE,2007,25.0,27.288,4.003,16.713,2.337,2.545
AZE,2008,10.77,33.68,3.221,20.807,17.194,17.342
AZE,2009,9.26,22.965,4.726,1.46,5.857,6.036
AZE,2010,5.0,28.425,4.981,5.725,13.831,13.836
AZE,2011,0.1,25.998,4.967,7.875,10.86,10.935
AZE,2012,2.203,21.406,5.831,1.075,3.705,3.813
AZE,2013,5.843,16.609,6.179,2.408,1.643,1.749
AZE,2014,2.768,13.864,8.533,1.367,2.742,2.891
AZE,2015,1.08,-0.42,17.98,4.04,-4.833,-4.462
AZE,2016,-3.064,-3.604,20.608,12.448,-1.17,-0.743
AZE,2017,0.154,4.071,22.509,12.937,-1.342,-0.909
AZE,2018,1.47,12.844,18.685,2.262,5.429,6.106
AZE,2019,2.48,9.061,17.656,2.595,8.955,9.648
AZE,2020,-4.199,-0.533,21.327,2.763,-6.44,-5.607
AZE,2021,5.616,15.124,26.349,6.664,4.205,4.879
AZE,2022,4.715,29.792,17.324,13.859,5.963,6.435
AZE,2023,1.354,11.5,21.807,8.813,7.92,8.625
AZE,2024,4.1,7.835,20.85,2.2,3.233,3.962
AZE,2025,3.519,7.794,21.017,5.7,-1.252,-0.407
AZE,2026,2.498,4.146,22.183,4.5,-1.73,-0.731
BDI,1995,-7.919,1.045,,18.926,-4.326,-2.534
BDI,1996,-8.001,-4.608,,26.884,-10.026,-8.125
BDI,1997,0.413,0.631,,31.356,-5.215,-3.259
BDI,1998,4.752,-4.906,,12.655,-5.16,-2.797
BDI,1999,1.164,-4.453,,3.2,-6.145,-3.514
BDI,2000,1.781,-7.019,136.425,24.432,-6.435,-4.159
BDI,2001,1.665,-3.508,127.387,9.296,-8.721,-6.185
BDI,2002,2.353,-12.542,159.088,-1.366,-5.381,-2.944
BDI,2003,2.469,-14.079,171.969,10.647,-14.738,-11.81
BDI,2004,3.766,-6.505,172.738,8.176,-15.46,-13.027
BDI,2005,4.37,-4.665,136.98,13.252,-10.556,-7.908
BDI,2006,5.414,-21.287,130.255,2.745,-9.924,-8.069
BDI,2007,3.452,-32.41,129.613,8.412,-2.51,-0.475
BDI,2008,4.862,-9.821,102.515,24.407,-2.704,-1.187
BDI,2009,3.813,-6.312,25.69,10.555,-5.145,-3.943
BDI,2010,5.124,-12.238,46.912,6.493,-3.637,-3.043
BDI,2011,4.033,-14.473,42.706,9.592,-3.491,-2.585
BDI,2012,4.447,-18.592,41.43,18.161,-3.794,-2.989
BDI,2013,4.924,-20.613,37.858,7.938,-1.899,-1.123
BDI,2014,4.241,-15.847,37.971,4.405,-3.929,-3.425
BDI,2015,-3.9,-11.529,39.926,5.545,-7.559,-7.047
BDI,2016,-0.6,-11.061,46.119,5.558,-7.111,-6.46
BDI,2017,0.5,-11.776,46.902,15.844,-5.006,-4.339
BDI,2018,1.61,-12.815,52.971,-2.794,-6.659,-5.058
BDI,2019,1.842,-11.57,60.053,-0.818,-6.402,-4.067
BDI,2020,0.335,-11.227,65.9,7.528,-6.331,-3.384
BDI,2021,3.119,-11.857,66.467,8.363,-5.242,-2.271
BDI,2022,1.827,-15.851,68.279,18.855,-10.59,-8.011
BDI,2023,2.659,-14.915,47.216,27.078,-7.449,-5.521
BDI,2024,3.531,-13.562,43.178,20.188,-5.02,-3.399
BDI,2025,1.866,-9.654,35.305,39.088,-6.549,-5.024
BDI,2026,2.589,-9.043,33.208,31.296,-6.024,-4.668
BEL,1995,2.385,5.338,131.286,1.265,-4.509,3.844
BEL,1996,1.321,4.954,129.004,1.76,-4.003,3.982
BEL,1997,3.793,5.471,124.271,1.499,-2.151,5.158
BEL,1998,1.962,5.12,119.186,0.901,-1.025,5.969
BEL,1999,3.543,7.764,115.362,1.134,-0.648,5.832
