mes,bienes_capital,materiales,consumo_durable,consumo_no_durable,productos_finales,produccion_total,viviendas_iniciadas,permisos,tasa_politica,tasa_10y,tips_10y,breakeven_10y,exp_infl_1y,hipotecaria_30y,ipc,M2,credito_consumo,ratio,ln_ratio,d_ratio,ratio_alt,d_ratio_alt,infl_anual,r_tips,r_exante,r_hipo,r_expost,d_prod,d_covid,d_crisis,ln_ratio_alt,c_hp,t_hp,c_ham,c_det,t_det,c_hp_alt,c_ham_alt
1961-08,8.5782,21.5037,22.1101,42.1411,24.5602,23.8847,1312.0,1159.0,2.0,,,,,,29.94,327.6,60619.48,0.20355899584965748,-1.5917994102189588,-5.4532889373057225,0.8755506876979829,2.291665637543758,1.1144883485309176,,,,0.8757515030060059,3.091074795922877,0,0,-0.1329022332176933,-0.026770292354505676,-1.565029117864453,-0.1159086262346456,-0.19973793169114007,-1.3920614785278187,0.02144376148750582,0.026412764336552624
1961-09,8.7053,21.552,20.866,41.9126,24.4486,23.8578,1429.0,1098.0,1.88,,,,,,29.98,329.5,60883.09,0.20770126405901804,-1.57165446213391,-2.876444431114966,0.8815228683851019,4.044892746200282,1.249577845322536,,,,0.6226417611741031,4.0306398155651735,0,0,-0.12610433489977138,-0.006478241840819576,-1.5651762202930903,-0.07487817767127214,-0.18156327245017234,-1.3900911896837376,0.027896831274045825,0.03349103255819372
1961-10,8.6956,21.9381,22.0324,42.6439,24.923,24.3156,1415.0,1123.0,2.26,,,,,,29.98,331.1,61158.22,0.20391193113200248,-1.5900670884888133,-2.908374461230334,0.8802351241824821,4.722401938453927,0.7731092436974896,,,,1.4754836557705042,6.048788767519753,0,0,-0.12756622062685766,-0.02492594017186467,-1.5651411483169486,-0.10222909370989197,-0.20194618764915684,-1.3881209008396564,0.026064914613857237,0.036874591516875777
1961-11,8.9303,22.2277,23.0174,43.0552,25.4254,24.6926,1385.0,1152.0,2.61,,,,,,29.98,333.4,61748.29,0.20741513220238209,-1.5730330244095871,-1.9890206671320243,0.8742320671454529,5.536358438373515,0.671591672263272,,,,1.925476984656438,9.00902754882833,0,0,-0.13440941552189054,-0.00810968108204757,-1.5649233433275396,-0.036066072778734526,-0.1868824124140116,-1.3861506119955755,0.01883097206165324,-0.003043710879204492
1961-12,8.9597,22.5415,23.4321,43.0552,25.5929,24.908,1365.0,1161.0,2.33,,,,,,30.01,335.5,62248.53,0.20809797655103215,-1.5697462690751258,0.5411061228737246,0.8807716202540548,7.720717540343208,0.6709158000671067,,,,1.648027324225243,11.805607758607728,0,0,-0.12695691451276622,-0.005222291390685196,-1.5645239776844406,-0.05565489135516666,-0.1855659459236314,-1.3841803231514944,0.025874684303674372,-0.0232175260560709
1962-01,8.9303,22.3725,22.9137,42.8724,25.4533,24.6925,1361.0,1122.0,2.15,4.083181818181818,,,,,30.04,337.5,62282.8,0.2082995120403803,-1.5687782732989421,0.2767682945845617,0.8789626492439094,6.397075942427977,0.6702412868632601,,,,1.46990679094543,10.815202938181478,0,0,-0.12901287452753268,-0.004833486379414831,-1.5639447869195273,-0.10039611106319213,-0.18656823899152863,-1.3822100343074135,0.023393262319616248,-0.02095984722112859
1962-02,9.0575,22.7346,23.0433,43.1466,25.7045,25.0964,1278.0,1194.0,2.37,4.039444444444444,,,,,30.11,340.1,62640.35,0.20992384104425377,-1.561010475736354,2.663805261978802,0.8844599194693537,7.774297652011726,0.9048257372654244,,,,1.4520358684822376,12.559145013225459,0,0,-0.12277808074553632,0.0021773934874462775,-1.5631878692238004,-0.1264237766497336,-0.1807707302730217,-1.3802397454633324,0.029185491984799403,-0.012005780663271168
1962-03,9.1748,22.7587,23.3803,43.4208,25.9557,25.2311,1443.0,1134.0,2.85,3.930454545454545,,,,,30.17,343.1,63128.57,0.21129965362222713,-1.5544779936315731,3.433517540851483,0.8768285964162015,6.1477908540517126,1.1058981233244003,,,,1.7250248591315742,12.487729325193753,0,0,-0.1314437487944508,0.007777664815464158,-1.5622556584470373,-0.10663347235525422,-0.17620853701232186,-1.3782694566192513,0.02005810419411158,-0.0076847276309000845
1962-04,9.2335,22.7346,23.9246,43.4665,26.2068,25.285,1524.0,1235.0,2.78,3.843,,,,,30.21,345.5,63866.91,0.21242796176365702,-1.5491523515574734,3.80717740981813,0.8675076697650991,3.778076060378244,1.3418316001341912,,,,1.4191261171797365,10.666648968439318,0,0,-0.1421309259724263,0.011998085673660563,-1.561150437231134,-0.08957691615511254,-0.17285318378230308,-1.3762991677751704,0.008885971401687315,-0.007007205849242221
1962-05,9.2335,22.4208,24.1319,43.7408,26.3185,25.258,1483.0,1142.0,2.36,3.873636363636364,,,,,30.24,347.5,64601.04,0.21109581900651106,-1.5554431300724065,3.726272960948318,0.8519026540266352,-0.2087696976926761,1.3404825737265424,,,,1.0060317460317547,9.031082002981394,0,0,-0.1602830145177993,0.004430818029967698,-1.5598739481023742,-0.12855211012007906,-0.1811142511413173,-1.3743288789310892,-0.009779781802427667,-0.02531321924150773
1962-06,9.3216,22.3484,23.6913,43.6037,26.2906,25.2042,1404.0,1154.0,2.68,3.909047619047619,,,,,30.21,349.3,65137.42,0.21378002325490725,-1.5428077213567228,4.62019882999436,0.8500528706077457,-1.019485144484253,1.2399463806970434,,,,1.422416418404504,7.42746249330426,0,0,-0.16245673071716424,0.01561937902992483,-1.5584271003866477,-0.10156318645364837,-0.1704491312697145,-1.3723585900870083,-0.012501961957792823,-0.018899117204410898
1962-07,9.3998,22.5415,24.2097,44.1521,26.6255,25.4465,1450.0,1189.0,2.71,4.014285714285714,,,,,30.22,350.8,65512.18,0.21289587584735498,-1.5469520785838338,4.069995512643221,0.8466132091416124,-2.118763657474956,1.0026737967914423,,,,1.6903772336201106,7.239935919214702,0,0,-0.16651134844012216,0.009858417130314656,-1.5568104957141484,-0.07104456633322709,-0.17656377734090656,-1.3703883012429272,-0.017145254035460217,-0.01953818421576778
1962-08,9.4976,22.5897,23.8727,43.7408,26.5697,25.4734,1517.0,1200.0,2.93,3.9756521739130433,,,,,30.28,352.8,66055.12,0.21713366010681104,-1.527242169865382,6.45572403535768,0.8502053090550514,-2.937518538142025,1.135604542418167,,,,1.7742470277410938,6.439668388432862,0,0,-0.16227741859911354,0.02778148117058965,-1.5550236510359716,-0.02022014524242266,-0.1588241574665359,-1.368418012398846,-0.013544751857518605,-0.01697923714040786
1962-09,9.4878,22.7828,24.1838,44.015,26.6813,25.635,1324.0,1223.0,2.9,3.978947368421052,,,,,30.42,354.9,66438.33,0.21555833238668634,-1.5345237221376806,3.713073999622929,0.8538864298216354,-3.185274529457444,1.4676450967311627,,,,1.4116370808678225,7.18473973433964,0,0,-0.15795708019434582,0.01854167655323069,-1.5530653986909113,-0.031523937455197215,-0.16807599858291544,-1.3664477235547652,-0.00990594669118236,-0.00668524999168385
1962-10,9.527,22.7828,24.2875,43.8322,26.7092,25.6619,1533.0,1181.0,2.9,3.925454545454545,,,,,30.38,357.2,67028.88,0.21735162734245597,-1.5262388343774997,6.382825411131354,0.8529944738142663,-3.1435989414168337,1.33422281521014,,,,1.545161290322583,5.388928197567955,0,0,-0.159002210041026,0.0246938073707359,-1.5509326417482356,0.0234808218362188,-0.1617613996668157,-1.364477434710684,-0.011683127010897743,-0.006608199235412893
1962-11,9.527,22.9759,24.3134,44.015,26.8209,25.7696,1622.0,1236.0,2.94,3.91578947368421,,,,,30.38,359.8,67642.1,0.21644893786209246,-1.5304006121882272,4.263241222135994,0.8566416488633863,-2.0326178326942665,1.33422281521014,,,,1.5846346280447676,4.269189901444781,0,0,-0.1547355938488332,0.018220383472558055,-1.5486209956607853,-0.007534181527427242,-0.16789346632162405,-1.3625071458666032,-0.00820080227261838,0.0009035950970970597
1962-12,9.4683,22.8552,24.4948,44.2436,26.9046,25.7696,1564.0,1236.0,2.93,3.864500000000001,,,,,30.38,362.7,68126.72,0.21400383332278564,-1.541761351397419,2.798491767770672,0.8494904217122723,-3.616169862722132,1.2329223592135952,,,,1.6764088215931672,3.4006465608883207,0,0,-0.16311861313998754,0.004363009636248583,-1.5461243610336677,-0.016982061783004543,-0.18122449437489707,-1.360536857022522,-0.01742126641657432,0.0017335631427878861
