index,iso3,anio,variable,valor
193,ARG,1996,resultado_fiscal_weo,-2.811
194,ARG,1997,resultado_fiscal_weo,-1.838
195,ARG,1998,resultado_fiscal_weo,-1.827
196,ARG,1999,resultado_fiscal_weo,-3.705
197,ARG,2000,resultado_fiscal_weo,-3.417
198,ARG,2001,resultado_fiscal_weo,-5.364
199,ARG,2002,resultado_fiscal_weo,-1.91
200,ARG,2003,resultado_fiscal_weo,1.5
201,ARG,2004,resultado_fiscal_weo,3.967
202,ARG,2005,resultado_fiscal_weo,3.341
203,ARG,2006,resultado_fiscal_weo,1.65
204,ARG,2007,resultado_fiscal_weo,0.757
205,ARG,2008,resultado_fiscal_weo,0.352
206,ARG,2009,resultado_fiscal_weo,-1.83
207,ARG,2010,resultado_fiscal_weo,-1.393
208,ARG,2011,resultado_fiscal_weo,-2.746
209,ARG,2012,resultado_fiscal_weo,-3.018
210,ARG,2013,resultado_fiscal_weo,-3.254
211,ARG,2014,resultado_fiscal_weo,-4.252
212,ARG,2015,resultado_fiscal_weo,-6.001
213,ARG,2016,resultado_fiscal_weo,-6.655
214,ARG,2017,resultado_fiscal_weo,-6.693
215,ARG,2018,resultado_fiscal_weo,-5.441
216,ARG,2019,resultado_fiscal_weo,-4.445
217,ARG,2020,resultado_fiscal_weo,-8.674
218,ARG,2021,resultado_fiscal_weo,-4.333
219,ARG,2022,resultado_fiscal_weo,-3.844
220,ARG,2023,resultado_fiscal_weo,-5.362
221,ARG,2024,resultado_fiscal_weo,0.861
222,ARG,2025,resultado_fiscal_weo,0.431
223,ARG,2026,resultado_fiscal_weo,1.405
234,ARM,2005,resultado_fiscal_weo,-1.976
235,ARM,2006,resultado_fiscal_weo,-1.95
236,ARM,2007,resultado_fiscal_weo,-2.334
237,ARM,2008,resultado_fiscal_weo,-1.757
238,ARM,2009,resultado_fiscal_weo,-7.686
239,ARM,2010,resultado_fiscal_weo,-4.979
240,ARM,2011,resultado_fiscal_weo,-2.875
241,ARM,2012,resultado_fiscal_weo,-1.493
242,ARM,2013,resultado_fiscal_weo,-1.593
243,ARM,2014,resultado_fiscal_weo,-1.943
244,ARM,2015,resultado_fiscal_weo,-4.837
245,ARM,2016,resultado_fiscal_weo,-5.632
246,ARM,2017,resultado_fiscal_weo,-4.785
247,ARM,2018,resultado_fiscal_weo,-1.752
248,ARM,2019,resultado_fiscal_weo,-0.977
249,ARM,2020,resultado_fiscal_weo,-5.403
