mes,ipc_var,defl,emae,emae_sa,supermercados,itcrm,empleo,ripte,ipc_empalmado,ipc_var_empalmado,infl_mensual,fuente_ipc,dolar_blue,dolar_mayorista,dolar_oficial,dolar_contadoconliqui,dolar_bolsa,dolar_tarjeta,dolar_solidario,dolar_cripto,riesgo_pais,base_monetaria,M2,M3,reservas_bcra,badlar,tc_oficial_bcra,rem_infl_esperada,infl_anual,infl_esp_12m,infl_esperada,emae_var,ripte_var,ripte_real_var,M2_crec_mensual,M2_crec_anual,M2_real_crec,multiplicador,m_exceso,badlar_efectiva,tasa_real_esp,tasa_real_12m,tasa_real_expost,brecha,intervencion_score,depreciacion,M2_usd,reservas_sobre_M2,rem_para_hoy,r_exante,r_exante_aprox,r_expost,M1,M2_privado,circulante,actividad,sec_pesca,sec_ensenanza,sec_construccion,sec_industria_manufacturera,sec_intermediacion_financiera,sec_inmobiliarias_empresariales_y_a,sec_servicios_sociales_salud,sec_servicios_comunitarios,sec_hoteles_y_restaurantes,sec_transporte_almacenamiento_y_com,sec_electricidad_gas_y_agua,sec_agricultura_ganaderia_caza_y_si,sec_comercio_mayorista_y_minorista,sec_explotacion_de_minas_y_canteras,sec_administracion_publica_defensa,sec_idx_larga,sec_idx_intermedia,sec_idx_corta,sec_ratio_larga_corta,brecha_larga,brecha_fuente,regimen,d_cepo,d_post2023,saldos_reales,saldos_tendencia,exceso_saldos,idx_larga,idx_corta,ratio,ln_ratio,d_ratio,d_covid,idx_inter,d_larga,d_intermedia,d_corta
2014-12,1.0,0.0052714295157128,140.435937749128,144.909139992942,,93.04111730127228,11730.569,1.878207240439272,57.07018739619619,1.474715451379871,1.474715451379871,San Luis (empalme),13.096774193548388,8.556774193548387,9.0,11.569032258064516,,,,,745.3181818181819,462564.0,821059.049,1205124.049,31407.0,20.00986842105263,8.602631578947367,,39.00824092697079,41.446739689774326,41.446739689774326,-1.5519512830682758,33.67371280571454,-5.334528121256255,11.727033142028189,28.893390991775235,10.252317690648317,1.7750171846490432,30.44534227484351,21.95094521185652,-19.495794477917805,-19.495794477917805,-17.05729571511427,28.544802867383503,0.3045432515326874,0.0,91228.78322222222,0.3442663476448696,,,,-12.270708269789177,632504.049,,358752.0,144.909139992942,76.39106625357044,150.8545533552837,139.96445200159403,133.8623263347227,176.14249373829176,139.3297549336797,153.6182368574931,147.50163795481433,162.91976514550842,179.91374352790407,142.45561803342665,88.52394623881575,147.5968485241539,94.77313741412657,147.22098653016923,136.27045524416786,167.9007226554373,155.80801279233071,0.8746049243680197,28.544802867383503,CCL,Primer control de cambios,1,0,9.313160032981076,9.123685297000458,18.947473598061748,108.6750407947796,111.54470839330115,0.9742733865204682,-0.026063330411478326,-3.8194886589583597,0,185.21906752777682,-2.3880310216600975,-0.7428013978640458,1.4314576372982835
2015-01,1.1,0.0053294152403857,133.99818907035,144.244787514862,,91.27074383173468,11748.991999999998,1.9150201023518816,57.92880876382613,1.504500697832234,1.504500697832234,San Luis (empalme),14.0,8.606129032258066,9.0,12.15548387096774,,,,,731.7,447995.0,752516.7975,1206882.7975,31452.0,20.232142857142858,8.664285714285715,,35.43239826425668,39.00824092697079,39.00824092697079,-0.8489574755146667,33.9759339198924,-1.456464344364285,-8.34802948502672,22.08866892475583,-9.852530182858953,1.6797437415596157,22.937626400270496,22.21783245821709,-16.790408468753704,-16.790408468753704,-13.214565806039596,35.06093189964157,0.3740635467720679,0.0,83612.9775,0.3761617028887651,,,,-9.757315070397876,563357.7975,,341072.0,144.244787514862,49.07539001468238,146.5469966767402,146.68971163831233,118.27273777332528,176.13005139985216,128.3776366616169,167.4512825270009,150.7920476453166,171.67831186906454,178.84368584975817,149.1242300147209,61.32173727655375,133.04972550076468,95.14667013328176,146.20580113727934,133.27616241511186,141.26306769738568,156.60914498138965,0.8510113661047666,35.06093189964157,CCL,Primer control de cambios,1,0,9.182455403278473,9.119836657648731,6.261874562974157,106.30223241802625,111.92388885409993,0.9497725061769264,-0.05153279024657711,-1.7642848471127779,0,141.6893016854428,-1.2829562427951302,-2.5855765658159946,0.4813286043177101
2015-02,0.9,0.0053773799775491,132.627886955774,148.087257284507,,88.68122894005758,11774.636,1.932638287293519,59.08849566631865,2.001917400408715,2.001917400408715,San Luis (empalme),13.071428571428571,8.691428571428572,9.0,12.11892857142857,,,,,684.2631578947369,446408.0,750259.4197,1222699.4197,31470.0,20.663194444444443,8.746111111111112,,28.899126442644945,35.43239826425668,35.43239826425668,1.0012546583620496,32.40159862118628,3.502472178541339,-0.2999770646315736,31.076767442584384,-2.3018944650402884,1.6806585448737477,30.075512784222333,22.73692713318456,-12.695471131072123,-12.695471131072123,-6.162199309460384,34.65476190476189,0.3697301368869006,0.0,83362.15774444444,0.3775094221586086,,,,-4.780636982983988,559769.4197,,341149.0,148.087257284507,82.34020061506313,146.30850315312762,147.7829890394921,116.83816966740386,172.3630902742235,129.1915204681836,158.4893362808494,148.71964015687348,160.53795586117994,173.50927876560803,137.0995265821499,70.34749867889387,142.45276811240632,88.28846995329278,146.36716701082526,129.59945090107234,161.9248597623956,154.64309678903103,0.8380551967209761,34.65476190476189,CCL,Primer control de cambios,1,0,9.15624398069585,9.115988018297005,4.025596239884699,103.09146496289256,110.63993166307613,0.9317744815391754,-0.07066446617408952,-1.0243267100742894,0,182.24527445536856,1.3589456401778222,0.546258672171529,2.3832723502520636
2015-03,1.3,0.0054472859172573,149.409012983328,147.605591420534,,84.55035611186415,11796.722000000002,1.9937096571719943,60.30371892961107,2.0566156738106134,2.0566156738106134,San Luis (empalme),13.0,8.785483870967743,9.0,11.890645161290324,,,,,593.1363636363636,440354.0,774533.6311,1236177.6311,31490.0,20.903125,8.841,,26.494888027100405,28.899126442644945,28.899126442644945,1.453704371820752,32.72324277292369,6.228354745823285,3.235442403336486,33.990966122404906,1.1788267295258723,1.758888601216294,32.53726175058415,23.026738728011576,-5.872387714633366,-5.872387714633366,-3.4681492990888287,32.11827956989248,0.342668517953844,0.0,86059.29234444445,0.3659105152057741,,,,-2.741730794959718,582544.6311,,350338.0,147.605591420534,141.82099740785813,147.2694277455143,151.9201564544136,134.92721628822846,176.96224079526087,133.17429117174467,172.15742503231323,141.3115758096983,150.91734267893716,182.99954733043992,151.53932559178585,144.4282120789188,170.02513399061348,97.37515756281856,147.8761888300874,139.98405222355723,228.52797509893952,159.7271170686829,0.8763950341842324,32.11827956989248,CCL,Primer control de cambios,1,0,9.175767305778384,9.112139378945276,6.3627926833106585,111.5968659317404,114.40689822927236,0.9754382616693215,-0.024868409830746414,1.2783158693615824,0,285.57366415968,3.973090164052717,-5.890307047502574,2.6947742946911823
2015-04,1.1,0.0055072060623471,157.484599537314,149.566133780415,,84.90425845964263,11849.296000000002,2.0214222214066853,61.40348502176685,1.8237118898744464,1.8237118898744464,San Luis (empalme),12.733333333333333,8.865333333333332,9.0,12.003333333333334,,,,,604.3636363636364,469092.0,778699.9052,1248431.9052,33909.0,20.815625,8.927,,26.198092663512806,26.494888027100405,26.494888027100405,3.163388546794099,28.221148973289488,2.023056309776681,0.5379074494264557,36.06926655592,-1.2858044404479907,1.6600153172512002,32.9058780091259,22.920975079479188,-3.573912947621217,-3.573912947621217,-3.2771175840336184,33.37037037037038,0.3560270198626945,0.0,86522.2116888889,0.3919109248146342,,,,-2.59680436912112,580882.9052,,352080.0,149.566133780415,146.55911348194078,150.0892270836068,151.98458871074286,137.38139403071713,176.30672319507744,135.51871068313451,177.44219703148113,150.77404327709482,147.63870476624524,190.61183143952744,132.04750244590613,240.9170855912434,153.79013442908695,93.84315771147224,146.9824504141404,136.4440589411313,269.6982188086846,159.18313641266278,0.8571514672723672,33.37037037037038,CCL,Primer control de cambios,1,0,9.154837882564332,9.108290739593548,4.6547142970784,108.60044739254708,113.8916183131045,0.9535420516546598,-0.047571752497093577,0.811340706348717,0,335.1582062215193,2.9727488021124238,7.6580746616122575,2.1614080957637505
2015-05,1.0,0.0055622781229706,168.886100589834,149.832901756199,,84.84281977887586,11875.379,2.080043465827479,62.60555493644877,1.9576574753954024,1.9576574753954024,San Luis (empalme),13.0,8.954193548387096,9.0,11.87225806451613,,,,,596.2,462104.0,808039.6757,1279957.6757,33283.0,20.25986842105263,9.008947368421053,,25.46716653974577,26.198092663512806,26.198092663512806,3.0965153019345104,27.922786788360355,2.4556202486145864,3.767789144967781,35.46501413128462,1.810131669572379,1.748610000562644,32.36849882935011,22.25116036395791,-3.946932299554895,-3.946932299554895,-3.2160061757878573,31.91397849462368,0.3404888387301671,0.0,89782.1861888889,0.3707082820413542,,,,-2.56322531581924,603899.6757,,360765.0,149.832901756199,182.7503177317828,152.0676315183799,153.40956486221052,139.3610616058484,172.79118003419435,136.51662803784336,180.63345314070568,144.1084255808941,144.46635239707345,198.279968820396,143.7823138965038,365.6589729801224,156.7704265206905,100.67852244562148,147.44945630433716,141.09876651029646,339.3785050040831,159.07920763007766,0.8869717709331765,31.91397849462368,CCL,Primer control de cambios,1,0,9.174309352113278,9.10444210024182,6.986725187145737,112.53411237507271,113.89561125783526,0.9880460812517139,-0.012025941378893946,0.40453691768497363,0,432.8245935144489,2.002868211443154,5.608474441310829,1.598331293758104
2015-06,1.0,0.0056179009042003,162.937390009122,150.659508057403,,84.01860375605544,11922.446,2.161581169687916,63.30049018803692,1.1100217102038012,1.1100217102038012,San Luis (empalme),13.033333333333331,9.047666666666666,9.0,12.078333333333337,,,,,593.2272727272727,482719.0,866599.5397,1351691.5397,33851.0,20.477272727272727,9.104090909090909,,24.61697811920072,25.46716653974577,25.46716653974577,4.184757030583275,29.0653980878292,4.448419968628482,7.247152059615125,33.32332887321587,6.137130349411324,1.7952463849568796,29.1385718426326,22.512783203964016,-2.9543833357817526,-2.9543833357817526,-2.1041949152367003,34.20370370370372,0.3649178166961137,0.0,96288.83774444443,0.3515568449360902,,,,-1.6885298833229312,635717.5397,,387519.0,150.659508057403,171.30788525655015,154.23239413316276,155.64653921733512,143.4716382331051,184.8796053174565,139.23139872557698,186.1344849984596,151.50737795754716,145.33010835647062,195.40465358487776,145.09811994614012,244.3185401936556,171.1046007490484,94.46007970003382,149.41820928366286,142.08634783594556,288.8460050672,164.76610270622808,0.8623518157086006,34.20370370370372,CCL,Primer control de cambios,1,0,9.214616550696237,9.100593460890092,11.402308980614428,113.0471225647245,117.94151438038055,0.9585015349228869,-0.04238411511755636,-1.9061118700520563,0,367.1674869578257,2.8384993012091186,-11.931409724924702,4.744611171261148
2015-07,1.3,0.0056909336159549,151.844796343063,150.539130557285,,82.3392624624866,11972.39,2.2376688268609306,64.7590504006236,2.304184704184697,2.304184704184697,San Luis (empalme),14.161290322580646,9.14483870967742,9.0,13.315806451612904,,,,,603.0909090909091,520170.0,881226.4034,1385408.4034,33943.0,20.744318181818183,9.206818181818182,,25.02786360237579,24.61697811920072,24.61697811920072,4.531118994456973,29.177704825022488,4.1498412226467,1.6878457730387764,35.25844851476763,-0.6163389311459211,1.694112315973624,30.72732952031065,22.8348462174647,-1.782131901736015,-1.782131901736015,-2.193017384911087,47.95340501792116,0.5116127777819974,0.0,97914.04482222222,0.3466611971921766,,,,-1.7540229207510971,656284.4034,,405341.0,150.539130557285,195.73491725916367,153.67298898609857,158.10424022504318,141.88340229037442,182.8242396784072,141.34130116451334,171.17108115808287,170.5901956465304,163.4317047617112,193.05419290767605,150.96215043833996,115.60813567499136,162.76093146236545,98.48088509589572,149.864134089106,144.68526862737184,253.33144516589755,166.64853379927337,0.8682060701574724,47.95340501792116,CCL,Primer control de cambios,1,0,9.223676050403336,9.096744821538364,12.693122886497044,115.21195044760063,119.10360501640652,0.9673254678708523,-0.03322026531685643,-0.1582743782451941,0,336.92037737372004,4.133212242683104,7.59354360799902,4.291486620928353
2015-08,1.2,0.0057592248193463,146.465067204862,150.345224486571,,79.25537915478466,11996.702,2.296743283890059,65.99911887795807,1.9148960178738683,1.9148960178738683,San Luis (empalme),15.32258064516129,9.245806451612903,9.0,13.496774193548386,,,,,589.952380952381,509258.0,890538.8322,1402622.8322,33606.0,20.978125,9.3115,,24.297097559968584,25.02786360237579,25.02786360237579,4.673981236577829,29.63237801369094,5.335280453722355,1.056757805266639,34.265752943181106,-0.858138212607229,1.748698758193293,29.591771706603275,23.117459670562248,-1.9104039318135408,-1.9104039318135408,-1.1796378894063366,49.96415770609319,0.5330654101413441,0.0,98948.75913333333,0.3396303328545632,,,,-0.9490470112041072,665304.8322,,408598.0,150.345224486571,213.41731686944408,155.16610099807772,156.4471757088346,143.6516420601646,182.6105362392296,135.64398545636806,171.84141610289424,152.014026563942,159.29243595630305,189.46947568498985,146.6168108201399,68.81774814861737,164.54508093663677,96.67541856773538,150.7937076625642,142.25174102056923,245.0065075378556,163.68171611349803,0.8690753273990046,49.96415770609319,CCL,Primer control de cambios,1,0,9.2183592172898,9.092896182186635,12.546303510316292,113.2742481969921,117.17420065519747,0.9667166284352854,-0.0338498684230574,0.8732482210095794,0,335.63643480128354,4.420319747747392,15.077145717541285,3.5470715267377884
2015-09,1.2,0.0058283355171785,145.882323718601,149.005372863167,,76.19734652426345,11996.374,2.3385440116568583,67.61040408274447,2.4413738125290685,2.4413738125290685,San Luis (empalme),15.833333333333334,9.369333333333334,9.0,13.914666666666667,,,,,561.4285714285714,530135.0,906598.7291,1432063.7291,33257.0,21.18465909090909,9.43590909090909,,23.510565871500845,24.297097559968584,24.297097559968584,3.817726138713629,29.82363262864183,6.313066757140984,1.8033909717699137,33.65619658493139,-0.6379828407591548,1.7101280411593274,29.83847044621777,23.367602951629586,-0.9294946083389988,-0.9294946083389988,-0.1429629198712589,54.607407407407415,0.5826040378308066,0.0,100733.19212222222,0.33014937082157,,,,-0.1157495464962909,679469.7291,,413997.0,149.005372863167,209.0455478316136,155.7524032485334,157.3100113404117,140.46466311267113,181.7940877782173,137.68988142603467,169.07423875772105,143.96082817374264,159.69378848302688,188.92930757809452,139.84062844810563,64.55008886087165,163.30995403816655,94.3015866539502,150.36437397734107,140.35445702357282,240.48325608009657,161.67521242928612,0.8681260096377568,54.607407407407415,CCL,Primer control de cambios,1,0,9.215306085039142,9.089047542834908,12.62585422042335,111.64056121544897,115.81475430458595,0.9639580197341774,-0.036707533313424766,1.10345508561287,0,328.5120727118101,3.2119421384851243,5.054450162544022,2.10848705287221
